GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0030513	0.00145657564506441	1645.8	0.0014570179698883	1	6	positive regulation of BMP signaling pathway
GO:0021904	0.00242703630867558	913.888888888889	0.00242836328314716	1	10	dorsal/ventral neural tube patterning
GO:0021915	0.0125883875579338	160.450980392157	0.0126274890723652	1	52	neural tube development
GO:0035264	0.0135534223703716	148.709090909091	0.0135988343856241	1	56	multicellular organism growth
GO:0001708	0.0145179853696643	138.559322033898	0.014570179698883	1	60	cell fate specification
GO:0007224	0.0147590523986832	136.233333333333	0.0148130160271977	1	61	smoothened signaling pathway
GO:0090092	0.0154820765558112	129.698412698413	0.0155415250121418	1	64	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0043010	0.0171681008311874	116.628571428571	0.0172413793103448	1	71	camera-type eye development
GO:0019048	0.0205358145986654	97.0238095238095	0.0206410879067509	1	85	modulation by virus of host morphology or physiology
GO:0051817	0.0243775531357439	81.34	0.0245264691597863	1	101	modification of morphology or physiology of other organism involved in symbiotic interaction
GO:0051701	0.0274934071485001	71.8672566371681	0.0276833414278776	1	114	interaction with host
GO:0006457	0.0360959172534108	54.261744966443	0.0364254492472074	1	150	protein folding
